latitude,longitude,name
56.966,1.869,29/5b Franklin Wellhead Platform / Small Steel
55.538,5.032,5505/13-BB
57.961,-0.918,20/1 Golden Eagle Production Wellhead Platform / Small Steel
57.813,-0.978,20/6a Buzzard Utilities Quarters Platform / Small Steel
57.96,-0.918,20/1 Golden Eagle Production Utilities Quarters Platform / Small Steel
58.307,-1.77,13/22a Captain Wellhead Protection Platform / Small Steel
57.814,-0.976,20/6a Buzzard Production Sweetening Platform / Small Steel
57.012,1.838,22/30c Elgin Wellhead A Platform / Small Steel
57.012,1.841,22/30c Elgin Wellhead B Platform / Small Steel
61.62,1.305,211/12a Magus Platform / Large Steel
61.357,1.16,211/16a Eider Platform / Large Steel
61.276,0.918,210/25a Tern Platform / Large Steel
61.24,1.148,211/21 Cormorant North Platform / Large Steel
57.814,-0.976,20/6a Buzzard Production Platform / Small Steel
57.011,1.836,22/30c Elgin Production Utilities Quarters Platform / Jackup
58.306,-1.771,13/22a Captain Bridge Linked Platform / Small Steel
61.102,1.071,211/26 Cormorant A Platform / Concrete Gravity Based
25.812,52.704,NA
57.814,-0.974,20/6a Buzzard Wellhead Platform / Small Steel
59.546,1.533,9/13a Beryl Flare Tower / Small Steel
58.692,1.28,16/7a Brae A Platform / Large Steel
60.81,1.734,3/9 Alwyn North NAB Platform / Large Steel
59.279,1.514,9/23b Harding Platform / Jackup
61.106,1.307,211/27a NW Hutton / Large Steel
58.827,-0.288,14/9 Manifold Compression Platform 01 / Concrete Gravity Base
58.466,0.258,15/17 Piper A Platform / Large Steel
53.497,2.324,49/17 Viking HD Platform / Small Steel
61.132,1.734,211/29 Brent D Platform / Concrete Gravity Based
60.692,-2.544,206/8 Clair Platform / Small Steel
59.744,1.671,9/9a Bruce Compression Riser Platform / Small Steel
53.528,2.222,49/12a Viking KD Platform / Small Steel
60.736,-2.497,206/08 Clair Ridge Utilities Quarters Platform / Large Steel
60.736,-2.494,206/08 Clair Ridge Drilling Platform / Large Steel
59.742,1.671,9/9a Bruce Production Utilities Quarters Platform / Small Steel
59.588,1.055,9/11a Mariner A / Large Steel
59.61,1.511,9/13a Beryl B Platform / Large Steel
