latitude,longitude,name
57.002,-1.84,KINCARDINE
57.491,-1.352,HYWIND SCOTLAND / BUCHAN DEEP DEMO
57.497,-1.372,HYWIND SCOTLAND / BUCHAN DEEP DEMO
57.485,-1.372,HYWIND SCOTLAND / BUCHAN DEEP DEMO
57.478,-1.353,HYWIND SCOTLAND / BUCHAN DEEP DEMO
57.484,-1.332,HYWIND SCOTLAND / BUCHAN DEEP DEMO
57.018,-1.855,KINCARDINE
56.989,-1.866,KINCARDINE
56.997,-1.874,KINCARDINE
57.005,-1.881,KINCARDINE
57.027,-1.862,KINCARDINE
57.011,-1.848,KINCARDINE
53.149,1.156,SHERINGHAM SHOAL
53.125,1.18,SHERINGHAM SHOAL
53.156,1.1,SHERINGHAM SHOAL
53.151,1.12,SHERINGHAM SHOAL
53.154,1.11,SHERINGHAM SHOAL
53.151,1.171,SHERINGHAM SHOAL
53.12,1.175,SHERINGHAM SHOAL
53.127,1.144,SHERINGHAM SHOAL
53.137,1.104,SHERINGHAM SHOAL
53.149,1.181,SHERINGHAM SHOAL
53.12,1.124,SHERINGHAM SHOAL
53.127,1.195,SHERINGHAM SHOAL
53.166,1.085,SHERINGHAM SHOAL
53.127,1.119,SHERINGHAM SHOAL
53.144,1.15,SHERINGHAM SHOAL
53.125,1.155,SHERINGHAM SHOAL
53.144,1.176,SHERINGHAM SHOAL
53.127,1.17,SHERINGHAM SHOAL
53.147,1.166,SHERINGHAM SHOAL
53.122,1.19,SHERINGHAM SHOAL
53.122,1.139,SHERINGHAM SHOAL
53.12,1.149,SHERINGHAM SHOAL
53.132,1.124,SHERINGHAM SHOAL
53.101,1.204,SHERINGHAM SHOAL
53.122,1.114,SHERINGHAM SHOAL
53.154,1.161,SHERINGHAM SHOAL
53.122,1.165,SHERINGHAM SHOAL
53.154,1.136,SHERINGHAM SHOAL
53.151,1.146,SHERINGHAM SHOAL
53.208,0.446,INNER DOWSING
53.846,1.515,HORNSEA 2
53.169,0.46,INNER DOWSING
53.865,1.457,HORNSEA 2
56.44,-2.241,INCH CAPE
53.194,0.446,INNER DOWSING
53.198,0.433,INNER DOWSING
53.198,0.446,INNER DOWSING
53.169,0.446,INNER DOWSING
53.203,0.446,INNER DOWSING
53.869,1.535,HORNSEA 2
53.213,0.446,INNER DOWSING
53.184,0.446,INNER DOWSING
53.179,0.46,INNER DOWSING
53.855,1.468,HORNSEA 2
53.203,0.433,INNER DOWSING
53.179,0.446,INNER DOWSING
53.189,0.446,INNER DOWSING
53.847,1.536,HORNSEA 2
53.889,1.467,HORNSEA 2
53.198,0.46,INNER DOWSING
53.174,0.46,INNER DOWSING
53.876,1.459,HORNSEA 2
53.189,0.46,INNER DOWSING
53.194,0.46,INNER DOWSING
53.852,1.455,HORNSEA 2
53.208,0.433,INNER DOWSING
53.184,0.46,INNER DOWSING
53.174,0.433,INNER DOWSING
53.189,0.433,INNER DOWSING
53.179,0.433,INNER DOWSING
53.184,0.433,INNER DOWSING
53.193,0.433,INNER DOWSING
53.213,0.433,INNER DOWSING
53.174,0.446,INNER DOWSING
53.213,0.46,LINCS
53.218,0.469,LINCS
53.225,0.509,LINCS
53.208,0.431,INNER DOWSING
53.243,0.473,LINCS
53.219,0.512,LINCS
53.219,0.483,LINCS
53.236,0.505,LINCS
53.169,0.433,INNER DOWSING
53.233,0.492,LINCS
53.227,0.494,LINCS
53.195,0.49,LINCS
53.19,0.504,LINCS
53.192,0.477,LINCS
53.165,0.503,LINCS
53.231,0.507,LINCS
53.221,0.497,LINCS
53.183,0.476,LINCS
53.177,0.476,LINCS
53.215,0.499,LINCS
53.201,0.491,LINCS
53.239,0.489,LINCS
53.196,0.504,LINCS
53.209,0.502,LINCS
53.203,0.504,LINCS
53.17,0.476,LINCS
53.199,0.477,LINCS
53.245,0.487,LINCS
53.23,0.464,LINCS
53.186,0.517,LINCS
53.235,0.462,LINCS
